Bill No,Transaction Date,Menu Item,Item Category,Guest ID,Bill Amount,Qty,Outlet
B00656,2023-06-06 22:00:00,Tea,Beverage,G0269,636.87,3,Koramangala
B00657,2023-08-24 04:00:00,Cold Brew,Beverage,G0229,186.55,2,Koramangala
B00658,2024-03-14 06:00:00,Cappuccino,Beverage,G0156,333.81,3,Koramangala
B00659,2023-05-02 10:00:00,Latte,Food,G0189,358.23,1,Indiranagar
B00660,2023-07-27 00:00:00,Sandwich,Beverage,G0272,543.45,3,Indiranagar
B00661,2023-09-04 13:00:00,Latte,Food,G0375,136.56,2,MG Road
B00662,2024-05-21 00:00:00,Cold Brew,Beverage,G0002,324.33,1,Koramangala
B00663,2024-01-02 03:00:00,Croissant,Food,G0246,438.25,2,MG Road
B00664,2023-01-31 08:00:00,Croissant,Beverage,G0210,202.64,3,MG Road
B00665,2023-02-26 21:00:00,Croissant,Beverage,G0286,437.66,3,Koramangala
B00666,2023-07-07 04:00:00,Muffin,Food,G0359,606.49,2,Indiranagar
B00667,2023-01-30 02:00:00,Tea,Food,G0013,648.59,3,Indiranagar
B00668,2023-10-27 10:00:00,Muffin,Food,G0096,98.5,2,MG Road
B00669,2023-01-17 11:00:00,Cappuccino,Food,G0221,214.29,3,MG Road
B00670,2023-11-05 08:00:00,Croissant,Food,G0238,256.88,2,MG Road
B00671,2023-12-03 18:00:00,Cold Brew,Food,G0094,307.5,2,MG Road
B00672,2023-06-23 19:00:00,Sandwich,Beverage,G0338,218.09,1,Koramangala
B00673,2023-07-01 16:00:00,Latte,Food,G0269,195.99,1,MG Road
B00674,2023-04-15 06:00:00,Tea,Beverage,G0171,624.1,2,MG Road
B00675,2024-02-22 03:00:00,Espresso,Beverage,G0094,603.56,3,Indiranagar
B00676,2023-01-30 21:00:00,Sandwich,Food,G0149,106.79,3,Indiranagar
B00677,2023-04-26 22:00:00,Tea,Beverage,G0112,273.12,3,Indiranagar
B00678,2023-07-26 02:00:00,Muffin,Food,G0055,310.93,2,Koramangala
B00679,2024-05-05 09:00:00,Muffin,Food,G0337,216.24,2,Koramangala
B00680,2023-08-17 14:00:00,Sandwich,Beverage,G0116,438.46,2,Indiranagar
B00681,2023-12-14 07:00:00,Muffin,Beverage,G0143,445.02,2,Indiranagar
B00682,2023-07-27 12:00:00,Croissant,Food,G0201,564.79,1,MG Road
B00683,2024-04-17 04:00:00,Cappuccino,Food,G0180,502.3,2,MG Road
B00684,2023-10-30 18:00:00,Latte,Beverage,G0202,389.27,3,Koramangala
B00685,2023-07-07 03:00:00,Cappuccino,Beverage,G0364,452.54,1,Koramangala
B00686,2023-10-27 16:00:00,Tea,Beverage,G0053,236.17,3,MG Road
B00687,2024-04-08 18:00:00,Latte,Beverage,G0384,418.04,2,Indiranagar
B00688,2023-08-21 20:00:00,Cold Brew,Food,G0180,358.86,1,MG Road
B00689,2023-11-15 19:00:00,Latte,Food,G0313,156.01,2,Koramangala
B00690,2023-06-01 12:00:00,Cappuccino,Food,G0308,218.25,1,Koramangala
B00691,2024-04-20 14:00:00,Sandwich,Food,G0137,246.27,3,MG Road
B00692,2023-02-18 15:00:00,Latte,Beverage,G0182,606.86,2,MG Road
B00693,2024-03-26 08:00:00,Cold Brew,Beverage,G0367,211.32,2,MG Road
B00694,2023-02-14 06:00:00,Cold Brew,Food,G0001,244.87,1,Koramangala
B00695,2023-03-31 20:00:00,Cold Brew,Food,G0044,290.53,1,Indiranagar
B00696,2023-11-24 12:00:00,Cappuccino,Food,G0227,458.33,2,MG Road
B00697,2023-08-04 01:00:00,Latte,Food,G0331,147.4,1,Koramangala
B00698,2023-08-10 01:00:00,Espresso,Food,G0098,623.75,2,Koramangala
B00699,2024-04-10 14:00:00,Sandwich,Food,G0208,573.38,1,Koramangala
B00700,2023-09-30 13:00:00,Croissant,Food,G0265,409.01,3,MG Road
B00701,2024-04-23 14:00:00,Latte,Food,G0288,464.2,1,MG Road
B00702,2023-07-17 01:00:00,Cold Brew,Food,G0271,89.5,3,Indiranagar
B00703,2024-01-25 12:00:00,Espresso,Beverage,G0140,273.2,1,Koramangala
B00704,2023-11-02 10:00:00,Croissant,Food,G0237,533.53,1,MG Road
B00705,2023-08-11 06:00:00,Croissant,Beverage,G0392,124.17,2,Koramangala
B00706,2024-01-07 20:00:00,Tea,Beverage,G0072,240.92,1,Koramangala
B00707,2023-06-30 10:00:00,Latte,Food,G0155,413.62,1,Indiranagar
B00708,2023-11-30 18:00:00,Cappuccino,Food,G0190,226.16,3,MG Road
B00709,2023-10-11 09:00:00,Latte,Beverage,G0268,612.37,1,MG Road
B00710,2023-07-21 22:00:00,Espresso,Beverage,G0321,154.7,2,Koramangala
B00711,2023-10-08 11:00:00,Croissant,Food,G0107,534.51,3,Koramangala
B00712,2023-10-29 17:00:00,Latte,Beverage,G0232,369.53,2,Indiranagar
B00713,2023-02-09 17:00:00,Cappuccino,Food,G0042,507.69,2,Indiranagar
B00714,2023-04-16 19:00:00,Tea,Food,G0190,257.11,2,Indiranagar
B00715,2023-10-22 00:00:00,Latte,Food,G0371,373.26,2,Indiranagar
B00716,2024-04-24 20:00:00,Sandwich,Beverage,G0139,568.4,3,Indiranagar
B00717,2024-04-23 21:00:00,Tea,Beverage,G0103,346.12,1,Indiranagar
B00718,2023-03-06 06:00:00,Cappuccino,Food,G0171,285.04,2,Koramangala
B00719,2023-08-09 13:00:00,Espresso,Beverage,G0351,385.61,3,Indiranagar
B00720,2023-02-19 15:00:00,Croissant,Beverage,G0273,488.9,2,Koramangala
B00721,2023-09-21 01:00:00,Latte,Beverage,G0221,332.83,1,Koramangala
B00722,2024-04-11 01:00:00,Cappuccino,Beverage,G0213,615.16,3,MG Road
B00723,2023-10-17 02:00:00,Tea,Beverage,G0341,248.12,3,Koramangala
B00724,2023-04-22 17:00:00,Sandwich,Beverage,G0056,351.01,1,Koramangala
B00725,2024-01-28 01:00:00,Cappuccino,Beverage,G0390,511.45,3,Indiranagar
B00726,2023-03-06 04:00:00,Muffin,Food,G0342,472.8,1,Koramangala
B00727,2023-09-15 04:00:00,Cold Brew,Beverage,G0102,572.28,3,Indiranagar
B00728,2024-04-21 04:00:00,Sandwich,Beverage,G0192,648.18,3,Indiranagar
B00729,2023-08-19 21:00:00,Tea,Beverage,G0310,323.31,1,Indiranagar
B00730,2024-03-16 18:00:00,Espresso,Beverage,G0200,143.36,1,MG Road
B00731,2024-05-11 07:00:00,Croissant,Beverage,G0233,97.34,3,Indiranagar
B00732,2024-02-04 04:00:00,Tea,Beverage,G0227,494.32,3,Koramangala
B00733,2024-02-23 16:00:00,Cold Brew,Beverage,G0371,578.19,1,Indiranagar
B00734,2023-02-26 21:00:00,Espresso,Beverage,G0139,205.81,1,Indiranagar
B00735,2023-12-29 03:00:00,Latte,Food,G0344,170.32,3,Indiranagar
B00736,2024-02-16 08:00:00,Cappuccino,Beverage,G0305,115.46,3,MG Road
B00737,2023-12-29 14:00:00,Muffin,Beverage,G0149,548.94,3,Koramangala
B00738,2023-11-09 06:00:00,Sandwich,Beverage,G0115,257.49,1,MG Road
B00739,2023-06-29 16:00:00,Sandwich,Beverage,G0063,308.97,3,Koramangala
B00740,2023-02-25 04:00:00,Cappuccino,Food,G0104,366.57,2,MG Road
B00741,2024-01-25 11:00:00,Muffin,Food,G0339,558.49,1,Koramangala
B00742,2024-02-22 11:00:00,Cappuccino,Food,G0359,450.97,3,MG Road
B00743,2023-05-11 21:00:00,Latte,Food,G0156,430.59,1,Indiranagar
B00744,2023-11-06 03:00:00,Cold Brew,Food,G0273,180.13,2,MG Road
B00745,2023-05-26 06:00:00,Espresso,Food,G0006,372.52,1,MG Road
B00746,2023-03-17 10:00:00,Tea,Food,G0147,487.77,3,Indiranagar
B00747,2023-10-02 12:00:00,Sandwich,Food,G0184,634.76,2,Indiranagar
B00748,2023-05-02 19:00:00,Latte,Food,G0028,194.8,2,Koramangala
B00749,2023-08-09 21:00:00,Espresso,Food,G0038,85.44,3,Koramangala
B00750,2024-03-09 14:00:00,Latte,Food,G0119,122.92,3,Koramangala
B00751,2023-06-24 10:00:00,Muffin,Food,G0293,294.24,3,MG Road
B00752,2024-01-07 01:00:00,Sandwich,Food,G0371,547.71,1,Koramangala
B00753,2023-09-07 01:00:00,Tea,Food,G0244,84.07,1,MG Road
B00754,2024-05-06 10:00:00,Cappuccino,Food,G0068,340.34,1,MG Road
B00755,2024-05-28 14:00:00,Cappuccino,Food,G0214,267.66,3,Koramangala
B00756,2024-05-03 02:00:00,Espresso,Beverage,G0218,109.91,3,Koramangala
B00757,2023-06-27 20:00:00,Tea,Food,G0177,336.63,1,MG Road
B00758,2023-07-17 20:00:00,Cold Brew,Beverage,G0299,225.21,2,Indiranagar
B00759,2023-07-22 01:00:00,Croissant,Food,G0164,280.57,1,Indiranagar
B00760,2024-01-29 03:00:00,Muffin,Food,G0058,482.2,2,MG Road
B00761,2023-06-04 13:00:00,Espresso,Beverage,G0269,377.28,3,Koramangala
B00762,2024-01-22 09:00:00,Croissant,Food,G0308,151.05,3,MG Road
B00763,2023-10-03 19:00:00,Latte,Beverage,G0058,628.01,1,MG Road
B00764,2023-12-27 07:00:00,Muffin,Beverage,G0288,442.47,1,Koramangala
B00765,2024-01-14 14:00:00,Latte,Beverage,G0105,516.55,3,Indiranagar
B00766,2024-02-04 00:00:00,Cold Brew,Food,G0228,125.15,1,MG Road
B00767,2024-02-27 22:00:00,Tea,Food,G0247,106.82,3,Indiranagar
B00768,2023-05-09 00:00:00,Sandwich,Food,G0188,91.09,3,Indiranagar
B00769,2023-09-30 02:00:00,Muffin,Beverage,G0083,187.61,2,Koramangala
B00770,2024-02-29 12:00:00,Croissant,Beverage,G0186,316.21,1,MG Road
B00771,2024-06-03 21:00:00,Cold Brew,Food,G0252,613.42,3,MG Road
B00772,2023-01-22 00:00:00,Sandwich,Food,G0355,340.52,1,Indiranagar
B00773,2023-02-20 14:00:00,Cappuccino,Food,G0238,245.45,2,Indiranagar
B00774,2023-03-05 19:00:00,Croissant,Food,G0360,400.3,2,Koramangala
B00775,2024-04-29 16:00:00,Espresso,Food,G0184,143.8,1,Indiranagar
B00776,2023-11-12 16:00:00,Cappuccino,Beverage,G0284,427.42,1,Koramangala
B00777,2023-02-04 07:00:00,Cold Brew,Beverage,G0385,404.01,3,MG Road
B00778,2023-02-08 16:00:00,Cappuccino,Beverage,G0210,531.44,2,Koramangala
B00779,2023-07-29 13:00:00,Espresso,Food,G0304,642.41,2,Indiranagar
B00780,2023-01-06 13:00:00,Muffin,Beverage,G0296,223.0,2,MG Road
B00781,2023-03-29 17:00:00,Cappuccino,Beverage,G0097,370.5,1,Koramangala
B00782,2023-06-01 03:00:00,Tea,Beverage,G0208,598.05,3,MG Road
B00783,2024-06-24 12:00:00,Croissant,Beverage,G0370,527.56,1,Koramangala
B00784,2023-09-21 04:00:00,Sandwich,Beverage,G0388,357.82,1,Indiranagar
B00785,2023-03-19 04:00:00,Cappuccino,Food,G0137,618.86,1,Indiranagar
B00786,2023-07-24 14:00:00,Croissant,Beverage,G0367,112.62,3,MG Road
B00787,2023-06-23 23:00:00,Latte,Food,G0184,610.67,1,MG Road
B00788,2024-04-08 13:00:00,Croissant,Food,G0076,108.79,2,MG Road
B00789,2024-04-23 04:00:00,Sandwich,Food,G0287,391.96,2,Koramangala
B00790,2024-06-04 10:00:00,Croissant,Food,G0375,587.55,2,Indiranagar
B00791,2024-04-03 11:00:00,Espresso,Food,G0142,229.75,3,MG Road
B00792,2023-08-11 20:00:00,Cold Brew,Beverage,G0237,349.18,1,MG Road
B00793,2024-01-29 10:00:00,Sandwich,Beverage,G0025,264.87,3,MG Road
B00794,2024-05-02 16:00:00,Cold Brew,Food,G0290,622.72,1,Koramangala
B00795,2023-09-15 22:00:00,Muffin,Food,G0067,549.48,2,MG Road
B00796,2023-02-22 08:00:00,Cold Brew,Food,G0250,484.13,1,MG Road
B00797,2023-05-21 16:00:00,Latte,Beverage,G0118,414.95,1,Koramangala
B00798,2023-08-24 05:00:00,Espresso,Food,G0073,547.74,1,Koramangala
B00799,2023-05-26 06:00:00,Muffin,Beverage,G0282,303.59,3,MG Road
B00800,2023-05-30 08:00:00,Croissant,Food,G0360,335.1,1,MG Road
B00801,2024-02-04 12:00:00,Sandwich,Beverage,G0010,496.1,1,Koramangala
B00802,2024-05-07 21:00:00,Latte,Food,G0211,283.92,1,Indiranagar
B00803,2023-12-02 13:00:00,Espresso,Beverage,G0323,116.42,3,Koramangala
B00804,2023-05-19 18:00:00,Muffin,Food,G0152,122.37,3,Indiranagar
B00805,2023-04-23 15:00:00,Muffin,Beverage,G0005,145.76,3,MG Road
B00806,2023-12-27 22:00:00,Latte,Beverage,G0195,575.72,1,MG Road
B00807,2023-12-05 08:00:00,Tea,Beverage,G0283,349.17,2,Indiranagar
B00808,2023-10-24 10:00:00,Croissant,Beverage,G0113,486.34,2,Koramangala
B00809,2023-02-26 09:00:00,Latte,Beverage,G0271,303.96,2,MG Road
B00810,2024-04-02 07:00:00,Muffin,Beverage,G0163,227.47,1,Indiranagar
B00811,2024-04-04 07:00:00,Cappuccino,Beverage,G0105,277.9,2,Koramangala
B00812,2023-07-30 23:00:00,Espresso,Food,G0181,532.68,2,Indiranagar
B00813,2023-12-23 05:00:00,Latte,Food,G0044,436.37,2,Koramangala
B00814,2024-04-12 03:00:00,Tea,Food,G0282,614.45,1,Koramangala
B00815,2023-11-12 15:00:00,Muffin,Food,G0175,467.43,2,Koramangala
B00816,2023-01-28 19:00:00,Croissant,Food,G0162,405.0,2,Koramangala
B00817,2023-07-06 04:00:00,Cold Brew,Beverage,G0351,427.81,1,Indiranagar
B00818,2024-01-25 01:00:00,Muffin,Beverage,G0340,617.15,3,Indiranagar
B00819,2023-10-12 03:00:00,Croissant,Beverage,G0140,529.27,2,Indiranagar
B00820,2024-05-30 17:00:00,Latte,Beverage,G0132,93.7,3,Indiranagar
B00821,2023-06-04 23:00:00,Croissant,Beverage,G0087,384.46,2,Indiranagar
B00822,2023-04-25 09:00:00,Sandwich,Food,G0176,472.35,1,Koramangala
B00823,2023-11-08 19:00:00,Sandwich,Food,G0183,506.76,3,MG Road
B00824,2023-01-23 11:00:00,Sandwich,Food,G0368,201.49,3,MG Road
B00825,2024-04-02 03:00:00,Tea,Food,G0129,574.29,3,Indiranagar
B00826,2023-07-26 20:00:00,Tea,Beverage,G0246,624.83,3,Indiranagar
B00827,2024-05-28 16:00:00,Cappuccino,Beverage,G0089,214.93,2,MG Road
B00828,2023-07-21 11:00:00,Tea,Beverage,G0066,583.09,2,Koramangala
B00829,2023-06-07 07:00:00,Cold Brew,Food,G0158,135.28,3,Indiranagar
B00830,2023-09-09 18:00:00,Latte,Beverage,G0387,111.75,2,Koramangala
B00831,2023-10-23 22:00:00,Muffin,Food,G0378,153.66,3,MG Road
B00832,2023-11-01 16:00:00,Muffin,Beverage,G0149,112.91,3,MG Road
B00833,2023-08-10 16:00:00,Cappuccino,Beverage,G0340,561.66,1,Indiranagar
B00834,2023-09-13 12:00:00,Tea,Food,G0116,113.66,3,Koramangala
B00835,2023-11-25 19:00:00,Cold Brew,Beverage,G0214,234.85,2,Indiranagar
B00836,2024-03-21 20:00:00,Croissant,Beverage,G0372,139.14,3,MG Road
B00837,2023-04-26 19:00:00,Cappuccino,Food,G0294,248.39,1,Koramangala
B00838,2023-02-08 12:00:00,Cold Brew,Beverage,G0253,131.62,2,Indiranagar
B00839,2024-04-09 12:00:00,Croissant,Food,G0143,460.76,1,Indiranagar
B00840,2023-03-07 21:00:00,Cold Brew,Beverage,G0250,156.0,1,Indiranagar
B00841,2023-11-18 10:00:00,Croissant,Beverage,G0366,565.55,3,MG Road
B00842,2023-05-19 12:00:00,Espresso,Beverage,G0302,545.8,1,Indiranagar
B00843,2024-06-12 05:00:00,Cold Brew,Beverage,G0025,87.79,1,Koramangala
B00844,2023-08-27 01:00:00,Muffin,Beverage,G0277,590.56,2,Indiranagar
B00845,2023-10-20 18:00:00,Sandwich,Beverage,G0377,96.5,1,MG Road
B00846,2023-01-11 15:00:00,Tea,Beverage,G0378,216.6,3,Indiranagar
B00847,2023-07-20 04:00:00,Croissant,Beverage,G0389,98.46,3,MG Road
B00848,2023-03-18 14:00:00,Espresso,Food,G0070,271.43,3,MG Road
B00849,2024-02-27 08:00:00,Cold Brew,Food,G0113,372.9,1,Koramangala
B00850,2023-01-01 09:00:00,Muffin,Beverage,G0363,534.09,2,Koramangala
B00851,2023-04-30 15:00:00,Sandwich,Beverage,G0112,272.65,3,Indiranagar
B00852,2024-01-10 13:00:00,Croissant,Food,G0364,482.13,1,MG Road
B00853,2023-11-05 17:00:00,Cold Brew,Beverage,G0303,186.88,3,MG Road
B00854,2023-11-06 02:00:00,Cold Brew,Beverage,G0091,507.84,3,Koramangala
B00855,2023-08-02 12:00:00,Croissant,Food,G0018,214.52,2,Koramangala
B00856,2023-02-12 07:00:00,Cappuccino,Beverage,G0149,161.82,3,Indiranagar
B00857,2024-02-22 08:00:00,Cappuccino,Beverage,G0227,185.68,2,MG Road
B00858,2024-06-11 13:00:00,Muffin,Food,G0214,183.78,1,Koramangala
B00859,2024-04-17 00:00:00,Sandwich,Beverage,G0360,372.33,3,Indiranagar
B00860,2023-04-02 09:00:00,Croissant,Beverage,G0151,561.53,1,MG Road
B00861,2023-12-17 15:00:00,Muffin,Food,G0192,125.37,1,MG Road
B00862,2023-11-07 09:00:00,Muffin,Beverage,G0040,482.97,1,Koramangala
B00863,2023-06-23 06:00:00,Latte,Food,G0242,452.98,3,Indiranagar
B00864,2023-06-13 13:00:00,Cold Brew,Beverage,G0138,577.34,2,Koramangala
B00865,2023-10-18 10:00:00,Tea,Beverage,G0345,219.16,3,Indiranagar
B00866,2023-10-17 02:00:00,Cold Brew,Food,G0180,336.56,1,MG Road
B00867,2023-07-19 08:00:00,Cappuccino,Food,G0200,607.72,2,Indiranagar
B00868,2023-06-16 16:00:00,Sandwich,Beverage,G0203,456.2,1,Indiranagar
B00869,2023-03-10 01:00:00,Cold Brew,Food,G0061,301.6,2,Indiranagar
B00870,2024-03-07 00:00:00,Croissant,Food,G0192,154.91,3,Indiranagar
B00871,2023-10-30 18:00:00,Muffin,Beverage,G0005,229.62,2,Indiranagar
B00872,2023-12-29 14:00:00,Croissant,Beverage,G0378,411.29,3,Koramangala
B00873,2023-01-17 00:00:00,Latte,Beverage,G0237,489.36,1,Indiranagar
B00874,2023-01-17 20:00:00,Sandwich,Food,G0181,150.92,2,Indiranagar
B00875,2023-12-07 15:00:00,Muffin,Food,G0311,421.77,1,MG Road
B00876,2024-06-17 13:00:00,Croissant,Food,G0037,393.7,2,Indiranagar
B00877,2024-06-15 19:00:00,Cappuccino,Food,G0056,372.95,3,MG Road
B00878,2023-03-25 08:00:00,Tea,Beverage,G0237,473.37,2,Koramangala
B00879,2024-04-01 04:00:00,Latte,Food,G0358,557.35,2,Koramangala
B00880,2024-02-15 20:00:00,Sandwich,Beverage,G0349,264.1,3,Indiranagar
B00881,2023-09-07 13:00:00,Latte,Food,G0197,586.74,3,Koramangala
B00882,2023-03-02 20:00:00,Cappuccino,Beverage,G0073,171.56,3,Indiranagar
B00883,2023-10-27 14:00:00,Sandwich,Beverage,G0059,178.62,2,Koramangala
B00884,2023-10-25 12:00:00,Latte,Beverage,G0240,232.06,1,Indiranagar
B00885,2023-06-01 12:00:00,Espresso,Food,G0002,148.13,2,Indiranagar
B00886,2024-03-30 20:00:00,Cappuccino,Beverage,G0360,211.28,2,MG Road
B00887,2023-07-20 09:00:00,Cappuccino,Beverage,G0188,140.65,1,MG Road
B00888,2023-06-24 02:00:00,Cappuccino,Food,G0307,548.4,3,MG Road
B00889,2023-10-29 21:00:00,Espresso,Beverage,G0030,159.21,2,MG Road
B00890,2023-10-03 00:00:00,Espresso,Food,G0267,505.96,1,Indiranagar
B00891,2023-09-07 21:00:00,Croissant,Food,G0108,107.31,3,Koramangala
B00892,2023-03-27 08:00:00,Muffin,Beverage,G0332,620.66,3,Indiranagar
B00893,2024-05-29 02:00:00,Tea,Beverage,G0090,485.36,2,MG Road
B00894,2023-07-19 04:00:00,Latte,Food,G0205,83.87,3,MG Road
B00895,2023-01-30 20:00:00,Croissant,Beverage,G0379,515.4,3,Koramangala
B00896,2023-11-27 19:00:00,Latte,Food,G0381,373.03,1,MG Road
B00897,2023-08-20 21:00:00,Tea,Food,G0220,524.24,1,Indiranagar
B00898,2023-07-09 08:00:00,Muffin,Food,G0378,377.82,3,Indiranagar
B00899,2023-07-27 08:00:00,Espresso,Beverage,G0094,445.38,1,Indiranagar
B00900,2024-06-16 07:00:00,Muffin,Food,G0103,528.21,3,Indiranagar
B00901,2024-02-22 07:00:00,Espresso,Beverage,G0223,310.91,2,Indiranagar
B00902,2024-03-04 01:00:00,Tea,Beverage,G0186,81.54,1,Koramangala
B00903,2023-05-23 11:00:00,Muffin,Beverage,G0184,564.47,3,Indiranagar
B00904,2023-10-29 15:00:00,Croissant,Beverage,G0162,297.11,3,MG Road
B00905,2024-02-11 22:00:00,Sandwich,Food,G0247,362.74,1,MG Road
B00906,2023-01-11 09:00:00,Croissant,Beverage,G0031,84.43,1,MG Road
B00907,2024-01-05 09:00:00,Latte,Food,G0052,360.49,2,MG Road
B00908,2024-06-14 05:00:00,Croissant,Food,G0345,642.3,3,Koramangala
B00909,2024-03-07 13:00:00,Tea,Beverage,G0076,238.61,2,MG Road
B00910,2023-02-02 02:00:00,Cappuccino,Food,G0385,305.39,2,Koramangala
B00911,2024-05-21 10:00:00,Latte,Food,G0278,471.7,2,MG Road
B00912,2023-07-01 19:00:00,Muffin,Beverage,G0040,544.43,1,Koramangala
B00913,2024-02-29 00:00:00,Latte,Food,G0101,317.91,2,Koramangala
B00914,2023-02-14 21:00:00,Sandwich,Food,G0111,256.51,1,Koramangala
B00915,2023-12-18 03:00:00,Espresso,Food,G0385,614.56,1,MG Road
B00916,2023-12-24 12:00:00,Muffin,Food,G0321,465.97,2,Koramangala
B00917,2024-04-12 21:00:00,Cold Brew,Beverage,G0249,147.84,2,Indiranagar
B00918,2023-11-26 05:00:00,Latte,Food,G0191,119.29,3,Indiranagar
B00919,2023-07-22 10:00:00,Muffin,Food,G0182,355.62,2,MG Road
B00920,2024-02-23 08:00:00,Muffin,Food,G0335,205.45,3,Indiranagar
B00921,2023-09-30 16:00:00,Muffin,Food,G0209,224.77,2,Indiranagar
B00922,2023-07-16 15:00:00,Espresso,Beverage,G0022,580.28,2,Indiranagar
B00923,2023-04-28 06:00:00,Cold Brew,Food,G0166,131.05,2,MG Road
B00924,2023-05-21 14:00:00,Tea,Beverage,G0099,487.76,2,MG Road
B00925,2024-04-22 22:00:00,Croissant,Food,G0208,234.55,3,Indiranagar
B00926,2023-02-22 04:00:00,Muffin,Beverage,G0008,513.39,3,MG Road
B00927,2023-10-19 12:00:00,Cappuccino,Beverage,G0190,491.77,2,Koramangala
B00928,2024-05-22 05:00:00,Tea,Beverage,G0175,84.21,2,Indiranagar
B00929,2023-07-14 17:00:00,Sandwich,Beverage,G0273,370.21,3,MG Road
B00930,2024-03-05 18:00:00,Espresso,Beverage,G0017,159.41,1,MG Road
B00931,2023-07-08 18:00:00,Latte,Food,G0090,573.75,1,Indiranagar
B00932,2024-03-06 22:00:00,Espresso,Food,G0141,576.8,1,MG Road
B00933,2024-06-27 19:00:00,Latte,Food,G0145,318.46,3,Indiranagar
B00934,2023-10-14 17:00:00,Espresso,Beverage,G0166,333.31,3,MG Road
B00935,2023-10-17 13:00:00,Latte,Food,G0337,252.87,1,Koramangala
B00936,2024-02-01 17:00:00,Muffin,Beverage,G0078,488.47,1,Indiranagar
B00937,2023-09-18 01:00:00,Croissant,Beverage,G0262,284.44,2,Koramangala
B00938,2023-12-01 01:00:00,Latte,Food,G0163,232.64,3,Indiranagar
B00939,2023-10-17 05:00:00,Cold Brew,Food,G0366,326.37,3,MG Road
B00940,2024-02-02 22:00:00,Latte,Beverage,G0014,132.15,1,Koramangala
B00941,2023-10-19 18:00:00,Cappuccino,Beverage,G0239,505.56,1,MG Road
B00942,2024-03-20 18:00:00,Latte,Food,G0072,87.18,3,Indiranagar
B00943,2024-06-14 14:00:00,Cappuccino,Food,G0143,447.36,2,Indiranagar
B00944,2024-03-01 09:00:00,Sandwich,Food,G0310,184.23,1,Indiranagar
B00945,2023-02-25 11:00:00,Muffin,Food,G0283,212.47,3,Indiranagar
B00946,2024-06-06 08:00:00,Cappuccino,Beverage,G0269,442.31,3,Indiranagar
B00947,2023-06-27 13:00:00,Croissant,Food,G0241,645.98,2,Koramangala
B00948,2023-11-15 16:00:00,Tea,Food,G0245,523.3,2,Indiranagar
B00949,2024-02-02 22:00:00,Muffin,Food,G0163,208.73,1,MG Road
B00950,2023-08-02 03:00:00,Cappuccino,Beverage,G0060,180.33,1,Koramangala
B00951,2023-07-13 05:00:00,Muffin,Beverage,G0006,573.75,1,MG Road
B00952,2023-07-22 06:00:00,Cold Brew,Beverage,G0197,333.18,3,Indiranagar
B00953,2023-05-13 09:00:00,Muffin,Beverage,G0058,158.12,1,MG Road
B00954,2023-11-19 02:00:00,Muffin,Food,G0305,571.46,3,Koramangala
B00955,2024-03-06 00:00:00,Sandwich,Beverage,G0217,545.17,1,Koramangala
B00956,2023-04-01 20:00:00,Croissant,Food,G0026,640.83,2,Koramangala
B00957,2023-07-23 20:00:00,Espresso,Food,G0303,598.55,2,MG Road
B00958,2023-10-21 11:00:00,Espresso,Food,G0005,565.52,3,Koramangala
B00959,2023-01-06 17:00:00,Cappuccino,Food,G0020,109.97,2,MG Road
B00960,2023-09-21 15:00:00,Muffin,Beverage,G0390,139.52,3,Indiranagar
B00961,2023-05-25 16:00:00,Cappuccino,Beverage,G0198,404.32,3,Indiranagar
B00962,2023-08-16 01:00:00,Sandwich,Beverage,G0059,382.94,2,MG Road
B00963,2023-04-29 00:00:00,Sandwich,Food,G0242,341.04,3,Koramangala
B00964,2023-05-30 03:00:00,Latte,Food,G0146,306.17,2,MG Road
B00965,2023-09-06 19:00:00,Cold Brew,Food,G0388,325.79,1,MG Road
B00966,2024-04-12 15:00:00,Sandwich,Food,G0273,404.5,1,MG Road
B00967,2023-06-23 12:00:00,Latte,Food,G0249,81.18,2,Indiranagar
B00968,2024-03-25 09:00:00,Croissant,Beverage,G0014,228.6,2,MG Road
B00969,2023-11-27 21:00:00,Cappuccino,Food,G0013,375.42,2,Indiranagar
B00970,2023-08-21 01:00:00,Tea,Beverage,G0391,491.66,2,MG Road
B00971,2023-06-29 04:00:00,Croissant,Food,G0384,179.27,1,Indiranagar
B00972,2023-09-19 05:00:00,Sandwich,Food,G0044,391.72,3,MG Road
B00973,2023-06-09 02:00:00,Croissant,Beverage,G0375,487.24,3,MG Road
B00974,2024-05-28 18:00:00,Croissant,Beverage,G0399,333.44,1,Koramangala
B00975,2024-05-15 15:00:00,Cold Brew,Food,G0019,95.44,3,Koramangala
B00976,2024-05-24 18:00:00,Cold Brew,Food,G0063,336.08,1,MG Road
B00977,2023-03-21 10:00:00,Cold Brew,Food,G0239,248.97,3,MG Road
B00978,2023-09-18 14:00:00,Croissant,Food,G0337,609.9,2,MG Road
B00979,2023-02-01 16:00:00,Sandwich,Beverage,G0100,151.03,2,MG Road
B00980,2023-11-23 06:00:00,Tea,Food,G0163,451.91,2,Koramangala
B00981,2023-11-03 06:00:00,Muffin,Beverage,G0122,110.05,1,Indiranagar
B00982,2023-09-17 22:00:00,Croissant,Food,G0044,334.32,1,MG Road
B00983,2023-09-11 18:00:00,Latte,Beverage,G0360,395.77,3,Koramangala
B00984,2024-04-29 21:00:00,Sandwich,Beverage,G0317,249.83,3,MG Road
